VAL,N,AVL,AD
7500,360,10,11
2922,361,10,8
3803,362,10,7
6357,363,9,11
1715,364,9,12
5624,365,7,14
1693,366,9,12
9853,367,8,10
2754,368,10,12
9480,369,9,7
83,370,9,11
1104,371,9,11
877,372,8,16
4194,373,10,7
337,374,8,10
9885,375,9,11
16,376,9,10
948,377,9,11
9763,378,8,9
8564,379,9,8
1938,380,11,12
3377,381,10,10
8697,382,9,12
2339,383,9,10
7472,384,10,8
1404,385,10,14
1025,386,10,9
2052,387,11,13
5399,388,9,15
774,389,8,12
52,390,9,10
2085,391,9,11
8545,392,9,8
7381,393,10,8
8164,394,8,12
4696,395,8,14
7044,396,9,8
5845,397,9,14
9413,398,9,7
3740,399,8,9
7223,400,10,9
2051,401,11,14
5176,402,9,15
8860,403,9,11
1191,404,9,9
4007,405,9,12
4800,406,9,15
6134,407,9,15
4313,408,10,11
4146,409,9,10
271,410,9,10
286,411,9,10
1200,412,8,10
809,413,10,14
80,414,8,12
2740,415,10,13
9265,416,9,9
5249,417,10,9
4251,418,9,8
2947,419,10,9
4757,420,9,16
8059,421,9,9
7204,422,9,10
6028,423,8,14
8016,424,9,10
5825,425,9,14
3844,426,10,10
8611,427,8,9
2576,428,8,12
8514,429,8,9
1693,430,9,12
2695,431,9,10
4071,432,9,11
9642,433,9,8
2120,434,11,13
2648,435,10,13
9724,436,9,10
2342,437,11,11
8610,438,10,10
9604,439,9,9
79,440,9,13
7367,441,10,9
7238,442,10,10
7331,443,10,10
7436,444,10,9
7237,445,9,11
5164,446,10,16
6580,447,9,11
7730,448,9,9
5333,449,9,15
7219,450,10,11
7527,451,10,11
4325,452,10,10
4766,453,10,17
410,454,9,10
5628,455,8,15
8592,456,9,11
7336,457,10,11
726,458,9,9
3884,459,9,11
8079,460,9,10
8678,461,9,13
1583,462,9,10
2999,463,11,8
7739,464,10,12
9894,465,9,12
27,466,10,11
7789,467,10,15
4871,468,10,13
9447,469,8,8
8143,470,8,13
7665,471,10,12
3403,472,10,11
8394,473,10,6
1667,474,9,11
5515,475,8,17
7551,476,10,11
9068,477,9,11
1845,478,10,12
3900,479,8,12
2635,480,10,14
3315,481,8,7
9313,482,9,10
296,483,8,11
477,484,8,9
7190,485,10,11
7280,486,9,10
95,487,10,12
3610,488,9,5
3938,489,10,13
1999,490,11,12
1900,491,11,14
360,492,9,11
5178,493,10,16
6290,494,9,13
6754,495,9,9
7787,496,8,16
6783,497,10,8
4088,498,9,12
739,499,9,12
3759,500,10,9
7665,501,9,12
1167,502,10,10
1364,503,10,11
3798,504,10,8
2420,505,9,13
3403,506,10,11
9021,507,9,11
9953,508,9,11
9270,509,10,11
2180,510,10,9
2261,511,11,10
564,512,8,9
6560,513,11,12
5998,514,10,11
1358,515,10,12
1094,516,10,13
2652,517,10,14
6814,518,9,9
620,519,9,10
8758,520,9,11
6758,521,10,10
8633,522,10,11
2411,523,10,13
2196,524,10,8
2342,525,11,11
9950,526,8,12
8674,527,10,14
8895,528,10,12
9996,529,10,12
1735,530,11,12
5251,531,10,10
5019,532,9,14
6524,533,9,13
683,534,9,10
3733,535,10,10
3126,536,10,7
2045,537,11,12
2840,538,11,14
4867,539,10,14
4554,540,10,15
1837,541,9,13
2384,542,11,7
134,543,10,13
7061,544,10,9
8775,545,10,12
513,546,9,9
9184,547,10,9
2791,548,11,15
6727,549,10,9
2170,550,11,10
9307,551,9,12
6540,552,11,13
7101,553,9,12
443,554,8,7
6930,555,10,11
5100,556,10,15
1057,557,10,14
3628,558,10,8
8221,559,9,11
863,560,10,15
8326,561,9,8
2016,562,11,13
3443,563,11,12
3252,564,10,11
417,565,10,11
1083,566,10,15
7019,567,10,10
1139,568,10,12
44,569,10,12
3681,570,11,9
132,571,10,14
7234,572,9,12
6246,573,10,14
1137,574,9,13
2438,575,9,14
6181,576,10,16
3838,577,10,11
2179,578,10,11
4008,579,10,13
922,580,9,13
6016,581,10,15
1742,582,11,13
244,583,10,11
8420,584,9,8
910,585,8,12
5021,586,10,15
871,587,9,14
4854,588,10,15
467,589,7,6
3618,590,10,7
6845,591,10,7
3074,592,10,9
7972,593,8,8
4524,594,10,16
7501,595,9,12
7330,596,10,11
920,597,8,14
917,598,10,15
7152,599,10,13
1639,600,10,12
5530,601,10,19
175,602,9,10
264,603,9,12
8144,604,9,14
4076,605,10,13
1280,606,10,9
1615,607,10,13
5406,608,9,16
3037,609,11,10
5323,610,10,15
9965,611,9,13
5109,612,9,16
910,613,9,12
5313,614,10,16
9503,615,7,10
7141,616,10,14
1538,617,9,12
3272,618,10,12
9716,619,9,11
3210,620,11,12
7973,621,10,9
2075,622,11,13
9673,623,10,9
1105,624,11,14
9775,625,10,10
6626,626,10,8
7975,627,10,10
2093,628,10,13
1704,629,9,13
6739,630,10,10
2043,631,10,13
7384,632,10,9
558,633,9,10
9881,634,10,12
775,635,9,13
637,636,10,11
4084,637,9,14
5348,638,11,14
1016,639,11,8
7334,640,10,12
9534,641,9,11
3121,642,10,8
8488,643,9,10
8177,644,9,12
58,645,9,10
2364,646,10,8
4068,647,10,12
6105,648,10,16
6977,649,10,11
6643,650,11,9
1776,651,11,13
658,652,10,9
7535,653,9,12
844,654,10,15
1049,655,10,15
1812,656,11,13
4750,657,10,15
1770,658,11,14
2715,659,11,11
3884,660,9,11
9162,661,10,10
956,662,9,11
8821,663,10,13
2416,664,11,14
1825,665,11,11
8135,666,9,14
2778,667,11,13
7873,668,6,9
9897,669,10,13
7269,670,10,11
3209,671,11,13
6918,672,10,12
6662,673,11,10
2061,674,9,14
9375,675,8,8
7222,676,10,12
5900,677,10,12
9301,678,10,13
1211,679,10,11
6598,680,11,12
9858,681,9,13
2662,682,10,15
5426,683,11,14
9188,684,10,10
1368,685,10,12
9775,686,10,10
4533,687,11,16
5475,688,10,15
5786,689,10,13
3948,690,11,14
5168,691,11,17
5017,692,11,15
6245,693,10,15
1209,694,10,12
1060,695,11,16
9733,696,10,11
666,697,10,10
9121,698,9,11
215,699,10,11
676,700,9,10
2321,701,10,11
3436,702,10,13
2746,703,11,14
1462,704,8,13
9632,705,10,10
3640,706,10,10
2491,707,9,13
5308,708,10,17
9131,709,10,11
9462,710,10,9
812,711,10,16
9493,712,9,10
222,713,10,11
6633,714,11,10
7412,715,9,8
2298,716,11,12
9945,717,10,11
9035,718,10,11
133,719,10,15
4726,720,11,14
3179,721,11,14
465,722,9,8
4382,723,9,11
4842,724,6,11
6930,725,9,11
6528,726,10,14
8785,727,10,14
848,728,10,16
5826,729,10,15
7568,730,9,12
2631,731,10,15
6910,732,10,13
1492,733,10,13
7167,734,9,14
627,735,9,12
8925,736,11,11
3825,737,11,10
5433,738,11,15
532,739,9,9
9771,740,10,11
1472,741,10,13
343,742,9,11
5807,743,9,14
782,744,3,10
8284,745,8,9
9941,746,10,12
77,747,9,14
9450,748,10,10
7529,749,10,12
9561,750,9,9
2609,751,10,16
7316,752,10,11
1864,753,11,13
9169,754,10,11
2236,755,10,9
8680,756,10,14
681,757,10,11
5643,758,10,16
6772,759,11,6
6232,760,8,14
688,761,10,11
5979,762,9,12
4098,763,11,13
3174,764,10,12
1340,765,10,9
5945,766,11,11
4300,767,11,9
9621,768,9,11
6500,769,11,14
1097,770,11,14
4563,771,11,16
6682,772,11,10
2898,773,9,12
9135,774,11,12
45,775,10,13
4344,776,11,11
597,777,9,10
1746,778,9,15
293,779,10,12
1613,780,10,14
2177,781,9,12
912,782,9,16
4865,783,10,16
3351,784,11,7
9722,785,11,12
1218,786,10,12
7908,787,10,9
5051,788,12,16
3521,789,11,9
9746,790,11,12
709,791,10,10
3175,792,7,11
3277,793,11,13
5706,794,9,14
2593,795,10,17
4806,796,10,13
5742,797,11,12
9711,798,11,12
3197,799,9,15
3444,800,11,13
5087,801,11,17
2062,802,10,15
174,803,11,11
5314,804,11,17
5482,805,10,18
5494,806,9,19
3820,807,10,11
6413,808,10,14
9424,809,7,4
54,810,10,11
8836,811,10,12
1258,812,9,9
4664,813,10,11
5112,814,12,17
7325,815,10,10
8053,816,10,11
8200,817,9,13
1086,818,11,16
4477,819,10,17
5050,820,12,17
9730,821,11,12
5883,822,10,15
1037,823,9,10
4083,824,11,15
4561,825,11,17
3110,826,11,8
3386,827,11,11
8644,828,10,12
677,829,10,11
7035,830,9,11
3198,831,11,16
947,832,10,12
8890,833,11,13
7538,834,10,13
9631,835,11,12
4747,836,10,12
8479,837,9,9
4932,838,12,14
2181,839,10,10
5571,840,10,17
3366,841,11,8
7883,842,8,9
1010,843,11,11
6827,844,10,10
7863,845,9,12
1113,846,11,15
4093,847,10,14
7303,848,10,12
1691,849,10,13
3788,850,11,9
2319,851,10,13
207,852,11,12
4614,853,12,14
6336,854,5,7
4642,855,12,14
9253,856,10,10
1843,857,11,14
3398,858,11,12
119,859,10,15
7497,860,10,12
7606,861,9,13
4484,862,11,18
9399,863,10,9
7802,864,9,16
4622,865,10,13
1117,866,11,16
1420,867,9,15
7261,868,10,11
7706,869,10,10
962,870,10,12
6625,871,11,9
1059,872,10,17
6734,873,9,8
4328,874,11,11
3255,875,11,13
8262,876,10,10
1830,877,11,14
9260,878,11,11
1257,879,11,10
1028,880,11,11
4762,881,10,18
4885,882,12,14
4642,883,12,14
784,884,11,14
4498,885,12,19
313,886,10,12
4862,887,12,17
1333,888,11,10
2604,889,10,18
2322,890,11,12
6494,891,10,15
8444,892,8,10
6252,893,10,15
7250,894,9,12
3344,895,11,8
9264,896,11,12
6403,897,10,14
5861,898,9,16
6239,899,10,16
6640,900,11,11
5539,901,9,20
1255,902,10,11
5094,903,12,18
1701,904,10,14
2945,905,11,10
1798,906,11,14
6539,907,11,15
4244,908,12,9
1484,909,10,13
5128,910,12,15
5818,911,11,15
5350,912,10,15
1086,913,10,16
8783,914,10,15
254,915,11,13
4086,916,12,15
6737,917,11,11
1180,918,11,10
7015,919,9,12
859,920,10,17
1731,921,10,13
643,922,10,10
9049,923,10,12
4535,924,11,17
2893,925,12,12
222,926,10,11
8562,927,11,9
1247,928,11,9
224,929,11,12
6452,930,11,13
1006,931,11,12
5403,932,11,17
4305,933,12,12
2107,934,10,14
4750,935,11,15
4208,936,11,10
5591,937,9,18
475,938,10,10
2966,939,12,10
7725,940,9,11
4466,941,10,7
5685,942,11,15
5062,943,12,18
435,944,10,8
1742,945,10,13
2132,946,8,10
796,947,11,15
3385,948,10,12
2472,949,10,13
2003,950,11,14
7335,951,9,13
5182,952,10,17
1521,953,10,14
736,954,8,6
9919,955,11,13
320,956,9,9
4833,957,11,14
7983,958,10,11
2259,959,11,11
9245,960,11,11
7790,961,9,17
5345,962,11,15
9315,963,10,11
4808,964,10,15
5660,965,10,16
583,966,11,11
9200,967,11,11
4878,968,12,15
135,969,11,14
3857,970,11,11
4704,971,11,15
4857,972,11,18
2207,973,11,10
7596,974,11,14
4422,975,11,8
9876,976,11,14
5219,977,11,12
3196,978,11,16
7970,979,10,10
689,980,10,12
5570,981,11,18
6,982,11,11
2341,983,11,12
7848,984,9,13
605,985,10,11
5521,986,10,18
1304,987,9,10
1856,988,11,14
4865,989,10,16
9277,990,10,14
6397,991,12,15
3875,992,11,9
1604,993,11,15
5541,994,11,21
9285,995,11,15
381,996,10,12
2286,997,11,13
2369,998,10,9
6803,999,10,10
3429,1000,11,14
